,Gene Name,MeanLN_INS,P-valueLN_INSvsCON
0,A2M,0.956549636,0.67
1,AAK1,0.770894185,0.01
4,AASDHPPT,0.945241781,0.17
6,ABCE1,0.807071638,0.04
7,ABCF1,0.829434148,0.1
8,ABCF2,0.693954104,0.02
9,ABCF3,1.177847196,0.87
10,ABHD14B,0.938701046,0.57
15,ABLIM1,0.739914674,0.05
20,ACADVL,0.964340235,0.8
22,ACAT1,0.656867601,0.25
26,ACLY,0.80907487,0.05
27,ACO1,0.793283681,0.06
28,ACOT11,1.207920073,0.4
31,ACOT9,0.677632262,0.22
32,ACSL1,1.148800439,0.85
34,ACSL4,1.080971907,0.14
35,ACTA1,0.848001757,0.34
36,"ACTA2,ACTG2",0.700032424,0.14
37,ACTN1,1.395437291,0.25
40,ACTR1A,0.862198829,0.28
42,ACTR3,0.770803278,0.01
43,ADAM10,0.839233979,0.11
47,ADD1,0.911115352,0.21
50,ADH5,1.093823688,0.92
58,AGFG1,0.876021295,0.37
59,AGO2,1.20479245,0.98
62,AHNAK,0.801249907,0.08
63,AHNAK2,1.030980127,0.9
70,AIP,0.997324121,0.89
72,AK1,0.707605204,0.11
76,AKAP12,0.831719662,0.27
77,AKAP13,0.841273802,0.03
78,AKAP2,0.910291243,0.31
86,ALDOA,0.935943295,0.33
87,ALDOC,0.953958371,1.0
89,ALPK3,0.799405158,0.02
92,ALYREF,0.740056606,0.01
94,ANK2,1.049654503,0.14
97,ANKHD1,1.012168722,0.84
98,ANKLE2,1.288668871,0.22
100,ANKRD17,0.807601293,0.06
104,ANKS1A,0.943126047,0.49
106,ANPEP,1.048086864,0.7
108,ANXA1,1.642766183,0.76
110,"ANXA2,ANXA2P2",0.915460533,0.44
113,ANXA5,0.909387452,0.5
114,ANXA6,1.181568589,0.97
115,ANXA7,0.978404485,0.87
119,AP2A1,0.778196102,0.05
120,AP2A2,0.825446415,0.03
122,AP2M1,0.424098121,0.25
123,AP2S1,0.915570727,0.44
124,AP3B1,0.722587317,0.1
126,AP3D1,0.822008827,0.07
127,AP3M1,1.055115242,0.97
129,AP3S1,0.889097812,0.59
136,APEX1,0.752990306,0.03
137,API5,0.981796703,0.36
140,APOBEC2,1.096177478,0.79
141,APOBEC3C,0.698270819,0.13
146,ARCN1,0.987959473,0.81
147,"ARF1,ARF3",0.966881569,0.53
148,ARF4,0.978609769,0.44
149,ARF5,0.972569503,0.58
150,ARF6,1.066283233,0.44
151,ARFGAP2,0.894740756,0.25
152,ARFGAP3,1.060565373,0.9
158,ARHGAP1,0.847172988,0.09
160,ARHGAP12,1.10636316,0.67
170,ARHGDIA,0.940338546,0.49
175,ARHGEF17,0.93200128,0.3
177,ARHGEF2,0.724863768,0.01
180,ARHGEF6,0.820030403,0.04
181,ARHGEF7,0.853374427,0.04
184,ARL1,0.924286614,0.61
188,ARL8A,1.033078426,0.31
189,ARL8B,1.053036869,0.97
194,ARPC1A,0.732014347,0.01
195,ARPC1B,0.934367783,0.01
196,ARPC2,0.816852039,0.01
197,ARPC3,0.78359914,0.04
198,"ARPC4,ARPC4-TTLL3",0.769219438,0.03
199,ARPC5,0.660162794,0.06
200,ARPC5L,0.702798774,0.03
202,ASAP1,0.754059873,0.02
203,ASAP2,0.878891487,0.47
206,ASCC2,1.017799552,0.29
207,ASCC3,0.739585039,0.32
210,ASNA1,1.119765989,0.64
221,ATP1A1,1.082239245,0.57
225,ATP5A1,0.815065565,0.75
226,ATP5B,0.536986452,0.98
230,ATP6V1B2,0.851647664,0.43
236,ATXN10,0.739144949,0.63
237,ATXN2,0.966657487,0.32
238,ATXN2L,0.857905781,0.06
247,BAG3,0.689347206,0.11
248,"BAG6,BAT3",0.945159808,0.31
252,BASP1,1.415973234,0.63
253,BAX,1.038221041,0.82
256,BCAR1,0.673240888,0.58
257,BCAS1,0.963255807,0.48
259,BCAS3,1.025748491,0.51
264,BID,0.939610034,0.49
265,BIN3,0.855894878,0.21
287,BTF3L4,0.790057046,0.07
288,BUB3,0.816535967,0.15
291,BZW1,0.917930693,0.13
292,BZW2,0.918784632,0.18
299,C14ORF166,0.800296815,0.09
306,C1ORF198,0.835320455,0.05
312,"C4A,C4B",1.108981081,0.45
314,C8ORF33,0.870928716,0.27
320,CACYBP,1.020692383,0.31
321,CAD,0.885615775,0.37
323,"CALM1,CALM2,CALM3",1.213024449,0.23
330,CAMK2D,0.820434844,0.05
333,CAMSAP1,0.737507279,0.15
335,CAND1,0.799988593,0.15
336,CAND2,1.033445726,0.38
337,CANX,0.996879862,0.08
338,CAP1,1.289686914,0.75
341,CAPN1,0.913382568,0.53
342,CAPN2,1.039296053,0.45
343,CAPNS1,0.885665527,0.26
344,CAPRIN1,0.757274832,0.01
345,CAPZA1,0.878362249,0.09
346,CAPZA2,0.892924278,0.14
347,CAPZB,0.943254328,0.33
352,CASKIN2,1.052264942,0.76
356,CASQ2,0.982642649,0.33
359,CAV1,0.784493176,0.02
366,CC2D1A,0.643657831,0.02
369,CCAR2,0.763965855,0.29
372,CCDC132,0.677768031,0.01
