Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
A2M,0.956549636,0.67,-0.06408826196356265,0.17392519729917355
AAK1,0.770894185,0.01,-0.37539524934166824,2.0
AASDHPPT,0.945241781,0.17,-0.081244695040991,0.769551078621726
ABCE1,0.807071638,0.04,-0.3092313579390743,1.3979400086720375
ABCF1,0.829434148,0.1,-0.26980065032480754,1.0
ABCF2,0.693954104,0.02,-0.5270878443621283,1.6989700043360187
ABCF3,1.177847196,0.87,0.23615238817342687,0.060480747381381476
ABHD14B,0.938701046,0.57,-0.09126232798305468,0.24412514432750865
ABLIM1,0.739914674,0.05,-0.43456918427363633,1.3010299956639813
ACADVL,0.964340235,0.8,-0.052385852222420065,0.09691001300805639
ACAT1,0.656867601,0.25,-0.6063254863331575,0.6020599913279624
ACLY,0.80907487,0.05,-0.30565488224466564,1.3010299956639813
ACO1,0.793283681,0.06,-0.33409122393182045,1.2218487496163564
ACOT11,1.207920073,0.4,0.27252499596974783,0.3979400086720376
ACOT9,0.677632262,0.22,-0.5614255320244987,0.6575773191777937
ACSL1,1.148800439,0.85,0.20012820558192532,0.07058107428570728
ACSL4,1.080971907,0.14,0.11232902986402067,0.8538719643217619
ACTA1,0.848001757,0.34,-0.2378608409331321,0.46852108295774486
"ACTA2,ACTG2",0.700032424,0.14,-0.5145063487430982,0.8538719643217619
ACTN1,1.395437291,0.25,0.4807172931635033,0.6020599913279624
ACTR1A,0.862198829,0.28,-0.2139074917736941,0.5528419686577808
ACTR3,0.770803278,0.01,-0.3755653878823113,2.0
ADAM10,0.839233979,0.11,-0.2528550037901152,0.958607314841775
ADD1,0.911115352,0.21,-0.13429437650961926,0.6777807052660807
ADH5,1.093823688,0.92,0.12938021075635348,0.036212172654444715
AGFG1,0.876021295,0.37,-0.19096215449301018,0.431798275933005
AGO2,1.20479245,0.98,0.2687846343010247,0.00877392430750515
AHNAK,0.801249907,0.08,-0.3196758106076487,1.0969100130080565
AHNAK2,1.030980127,0.9,0.044016523826417756,0.045757490560675115
AIP,0.997324121,0.89,-0.0038656516810989376,0.05060999335508721
AK1,0.707605204,0.11,-0.49898343668744605,0.958607314841775
AKAP12,0.831719662,0.27,-0.2658307568996242,0.5686362358410126
AKAP13,0.841273802,0.03,-0.24935267669001251,1.5228787452803376
AKAP2,0.910291243,0.31,-0.13559989286368113,0.5086383061657274
ALDOA,0.935943295,0.33,-0.09550696945950667,0.4814860601221125
ALDOC,0.953958371,1.0,-0.06800178385809301,-0.0
ALPK3,0.799405158,0.02,-0.3230012134011895,1.6989700043360187
ALYREF,0.740056606,0.01,-0.4342924699941927,2.0
ANK2,1.049654503,0.14,0.06991453852740627,0.8538719643217619
ANKHD1,1.012168722,0.84,0.017449798039887627,0.07572071393811836
ANKLE2,1.288668871,0.22,0.3658816046329966,0.6575773191777937
ANKRD17,0.807601293,0.06,-0.3082848744071853,1.2218487496163564
ANKS1A,0.943126047,0.49,-0.08447749765666232,0.3098039199714863
ANPEP,1.048086864,0.7,0.06775829041428086,0.1549019599857432
ANXA1,1.642766183,0.76,0.716127154279892,0.11918640771920865
"ANXA2,ANXA2P2",0.915460533,0.44,-0.12743040446554132,0.3565473235138126
ANXA5,0.909387452,0.5,-0.13703299740515956,0.3010299956639812
ANXA6,1.181568589,0.97,0.24070337889960336,0.01322826573375516
ANXA7,0.978404485,0.87,-0.03149707770191964,0.060480747381381476
AP2A1,0.778196102,0.05,-0.3617943410471075,1.3010299956639813
AP2A2,0.825446415,0.03,-0.276753531260581,1.5228787452803376
AP2M1,0.424098121,0.25,-1.237530003912428,0.6020599913279624
AP2S1,0.915570727,0.44,-0.12725675768954073,0.3565473235138126
AP3B1,0.722587317,0.1,-0.46875616237245177,1.0
AP3D1,0.822008827,0.07,-0.2827742087653784,1.154901959985743
